OBJECTID,CNTY_NM,CNTY_NBR,FIPS,DIST_NM,DIST_NBR,CREATE_USE,CREATE_DT,EDIT_NM,EDIT_DT,CMNT,SHAPE_area,SHAPE_len
1,Cameron,31,"48,061",Pharr,21,TPP,1/5/2015 9:24:38 AM,,,,"3,036,325,864.113454300000000","355,130.184207561430000"
2,Willacy,245,"48,489",Pharr,21,TPP,1/5/2015 9:24:38 AM,,,,"1,911,660,133.498733000000000","218,146.888948095790000"
3,Starr,214,"48,427",Pharr,21,TPP,1/5/2015 9:24:38 AM,,,,"3,191,596,040.675658200000000","271,541.117178044630000"
4,Hidalgo,109,"48,215",Pharr,21,TPP,1/5/2015 9:24:38 AM,,,,"4,110,431,603.829273200000000","351,241.674378058230000"
5,Brooks,24,"48,047",Pharr,21,TPP,1/5/2015 9:24:38 AM,,,,"2,446,492,155.040985600000000","215,261.010070490770000"
6,Kenedy,66,"48,261",Pharr,21,TPP,1/5/2015 9:24:38 AM,,,,"4,614,919,461.986561800000000","289,060.958223038120000"
7,Zapata,253,"48,505",Pharr,21,TPP,1/5/2015 9:24:38 AM,,,,"2,743,509,998.459033000000000","238,359.384073344200000"
8,Jim Hogg,125,"48,247",Pharr,21,TPP,1/5/2015 9:24:38 AM,,,,"2,944,762,789.928906400000000","239,224.284683252890000"
9,Kleberg,137,"48,273",Corpus Christi,16,TPP,1/5/2015 9:24:38 AM,,,,"2,625,110,610.672701800000000","258,972.704751008130000"
10,Nueces,178,"48,355",Corpus Christi,16,TPP,1/5/2015 9:24:38 AM,,,,"2,831,497,230.030514200000000","339,136.344789504890000"
11,Duval,67,"48,131",Laredo,22,TPP,1/5/2015 9:24:38 AM,,,,"4,648,505,659.465704900000000","293,022.706591567430000"
12,Jim Wells,126,"48,249",Corpus Christi,16,TPP,1/5/2015 9:24:38 AM,,,,"2,247,585,383.794481800000000","258,335.831152930390000"
13,San Patricio,205,"48,409",Corpus Christi,16,TPP,1/5/2015 9:24:38 AM,,,,"1,830,571,988.094625700000000","313,505.558890779270000"
14,Webb,240,"48,479",Laredo,22,TPP,1/5/2015 9:24:38 AM,,,,"8,732,639,383.048225400000000","492,556.694351148970000"
15,Aransas,4,"48,007",Corpus Christi,16,TPP,1/5/2015 9:24:38 AM,,,,"1,188,529,792.731580000000000","191,975.007802988610000"
16,Refugio,196,"48,391",Corpus Christi,16,TPP,1/5/2015 9:24:38 AM,,,,"2,084,764,103.645045000000000","316,847.341871729000000"
17,Dimmit,64,"48,127",Laredo,22,TPP,1/5/2015 9:24:38 AM,,,,"3,407,773,155.034665600000000","238,973.986234128680000"
18,La Salle,142,"48,283",Laredo,22,TPP,1/5/2015 9:24:38 AM,,,,"3,892,658,623.001882100000000","250,683.622582592160000"
19,McMullen,162,"48,311",San Antonio,15,TPP,1/5/2015 9:24:38 AM,,,,"3,010,545,927.823828200000000","222,670.630760811440000"
20,Bee,13,"48,025",Corpus Christi,16,TPP,1/5/2015 9:24:38 AM,,,,"2,275,710,091.682690600000000","231,504.374671886940000"
21,Calhoun,29,"48,057",Yoakum,13,TPP,1/5/2015 9:24:38 AM,,,,"2,397,790,813.250325200000000","270,386.005774730060000"
